,text,title
20624,"0 About Us 
The Mind Unleashed is a conscious news dissemination organization that seeks to inspire out-of-the-box thinking and act as a catalyst for people to discover the limitless potential that exists inside us all. Break free from the mold! Join the Revolution! Join! We Are All One 
The tools and information used here are for research and educational purposes only. You are encouraged to think freely and question everything. © The Mind Unleashed, Inc. 2016 - except where noted. × Close",Don’t Despair: Why This Election Is Our Greatest Blessing
8012,"Friday on Fox News Channel’s “Fox  Friends,” while discussing the U. S. economy adding 235, 000 jobs in February and the unemployment rate falling to 4. 7 percent, former Speaker of the House Newt Gingrich said, “This is the beginning of turning the Trump rally into a Trump reality. ”  Gingrich said, “Well look, I think this is the beginning of turning the Trump rally into a Trump reality. He’s already working very hard to create jobs. He is going to do a lot more. His deregulation efforts are going to pay off big time. They need to pass tax reform which will really accelerate economic growth. He is going to be very frugal how the government buys things that will bring down the deficit. That will further help economic growth. So I think you’re seeing the beginnings, I emphasize beginnings, of a potential Trump economic era, that could involve great consumer confidence, lots of people starting new businesses and a real boom in American job creation. ” Follow Pam Key on Twitter @pamkeyNEN,    ",Gingrich on Jobs Numbers: ‘Beginning of Turning Trump Rally Into a Trump Reality’ - Breitbart
17178,"BALTIMORE  —   I first met Brandon Scott the day after Freddie Gray died. It was April 20, 2015. Mr. Scott, a member of the Baltimore City Council, was quietly observing a news conference where Baltimore police officials announced the suspension of six officers involved in the arrest of Mr. Gray, a    black man who sustained a fatal spinal cord injury in a police transport van. In the blighted West Baltimore neighborhood where Mr. Gray grew up, protests were growing. Mr. Gray’s death was wrenching for Baltimore a lot has transpired here since then. On the day Mr. Gray was buried, riots broke out, prompting Maryland’s governor to call in the National Guard. The fiery state’s attorney, Marilyn Mosby, promptly indicted the six officers on charges including murder. The city paid $6. 4 million to the Gray family. With the murder rate soaring, the mayor fired the police chief  —   and decided not to run for office again, as the city struggled to heal. Then came the officers’ trials, which ended this week without a single conviction. Throughout, I have repeatedly interviewed Mr. Scott. He is 32,   and the vice chairman of the Council committee that oversees the Baltimore police. Before being elected in 2011, he worked in city government and   the 300 Men March, an   group here. On Thursday, we spoke again, about the latest developments and what has changed. Below is an edited and condensed excerpt from that conversation. Ms. Mosby’s team has just accused the Police Department of undermining the prosecution. Does that concern you? My concerns are first and foremost that moving forward, we are doing what we need to do to repair our city  —   to improve   relations. I have spent a good deal of time over the last year working on body cameras, working on trainings with young people. The most important thing  —   what gets lost in all of this, is that we are talking about the loss of a life. But I will be following up with the police commissioner, even though this happened before the current commissioner, to provide a response to those claims. You mentioned body cameras. Are the Baltimore police using them? They will, just like in New York or any other major city, they’re going to be rolled out. We already have body cameras out there at this point, we are close to 200 officers. Body cameras were in the works before Freddie Gray, but most definitely it ratcheted up the pace. What else has changed? The department decided to improve the vans, so that’s a change. And I’m partnering with an organization called Community Mediation, fostering dialogue between youth and the police. Community Mediation is now mediating some internal affairs complaints. A lot of things have changed, things that people don’t see because they’re behind the scenes. I’ve talked to a lot of people who feel as though in the end, justice was not served  —   either for Freddie Gray or for the police. What do you say to that? I think what people must know about American justice is that the way the system is set up, you have to have a certain burden of proof and if it’s not met, then it’s not met. You can be as angry as you want to be, but you have to understand the system and respect it. What about you? Do you personally think justice was served? I can’t personalize it. Like myself, what I would do in a situation like that is talk to the family and see how they feel. If Mr. Gray’s family feels like everything, from the charges, from the state’s attorney proceeding with the trials, everything that has come out of it equals justice to them, then it’s justice. That’s a careful answer. You’ve always been so measured in answering my questions. I’m the grandson of poor farmers in rural North Carolina. I truly understand what it means for me being a young black man in this country. But I try not to be divisive, I try not to be polarizing, because that’s the last thing we need right now. We have enough of that going on. We’ve talked about changes in the city. Have you changed? Of course I have changed. I have shifted my work I’ve tried to do things a little differently. You have to be uncomfortable. If you’re not uncomfortable, if you haven’t changed the way you operate from April 2015 to now, then you’re saying the way our city was, was O. K.  —   and it wasn’t. So what are you doing differently? For example today, I’m on the labor committee in the City Council and we voted to send a bill to the full council raising the city’s minimum wage to $15 by 2022. I don’t think that would have happened before last April. Is Baltimore perhaps a better place now, as a result of Freddie Gray’s death? I can say that there have been changes in Baltimore for the better. But I can’t say that Baltimore is a complete better place, because we still have a lot of people dying. So Ms. Mosby never got any convictions. What, if anything, did she achieve? Many folks feel that her charging the officers would not have happened under the previous state’s attorney. That alone is a big deal for thousands of people in the city. But I would also remember  —   I talked to you and every other media outlet last year, I said, everyone should stay middle ground, because it’s just the beginning of the process. Are you surprised at how it turned out? I thought that at least there would be one charge that would stick with at least one officer, but I can’t say I’m surprised that it turned out the way that it did.",‘We Still Have a Lot of People Dying’ - The New York Times
947,"Pakistan is taking another step towards becoming a key buyer of liquefied natural gas (LNG), signing a deal to purchase a Floating Storage and Regasification Unit (FSRU) for its second import terminal.</strongSingapore's BW Group said in a statement on Monday that it would deliver the FSRU to Pakistan GasPort Limited (PGPL) in the fourth quarter, as well as providing the terminal at Port Qasim, Karachi with LNG regasification services in a 15-year agreement.The South Asian country has been earmarked as an up-and-coming demand outlet for the oversupplied LNG market. Along with Egypt and Jordan, Pakistan was a newcomer to the LNG import market in 2015, helping drive up demand and absorb growing world supplies from a wave of new projects.The new import terminal will be able to receive 600 million cubic feet of natural gas per day and is expected to be commissioned for operations by mid-2017.The terminal will reduce Pakistan's gas deficit by 30 percent and ensure fuel for 3,600 megawatts of new power generation plants being constructed in the country, said PGPL chairman Iqbal Ahmed.Pakistan started up the 3.5 million tonnes per year Engro Elengy LNG terminal, the country's first LNG import facility, in Port Qasim last March. Pakistan shipped in a total of 1.02 million tonnes of LNG in 2015, and has imported 1.78 millions tonnes in the first seven months of this year.""We are seeing weaknesses more in the North Asian market, and (South) Korea ... and a lot of the strong (demand) growth in where you might expect,"" said Neil Beveridge, a Hong Kong-based analyst at AB Bernstein, referring to emerging economies such as Pakistan.Qatar, which signed two term supply contracts with Pakistan this year, is the country's largest LNG supplier.",Pakistan prepares second LNG import termi
5132,"Saturday on Fox News Channel’s “Fox  Friends,” while discussing federal courts in Hawaii and Maryland halting President Donald Trump’s new restrictions on travelers from   countries, Harvard Law professor Alan Dershowitz said if Trump’s predecessor former President Barack Obama had issued the same order, the courts would not have intervened on the constitutionality of the executive order.  “The idea of focusing so heavily on campaign rhetoric and essentially saying, look, if Obama had issued the very same order with the same words it would be constitutional, but if Trump issues it, it’s unconstitutional because he said some things about Muslims in the   to the campaign,” he said. Dershowitz continued, “That’s not the way the law is supposed to operate. And finally, the Trump Justice Department is getting smart. They are appealing this not to the Ninth Circuit where they are likely to get an adverse ruling. They are appealing it to the Fourth Circuit. The Fourth Circuit is a much more conservative court. And much more likely to uphold the travel ban, and then if the case goes to the Supreme Court and ties four to four, Trump wins. ” He added, “I actually said that this wasn’t constitutional analysis. It was psychoanalysis. There is precedent in extreme cases where legislators in enacting a statute say things that you can sometimes look to the legislative intent. But I have never heard of a case where the rhetoric of a candidate, ambiguous rhetoric to be sure  —   because I do not believe this is a Muslim ban  —  focusing on a country like Iran, the greatest exporter of terrorism, not only no vetting, it sends terrorists out in order to kill Americans. Iran has so much blood on its hands of Americans and American allies, to exclude a country like Iran from the list would be absurd. And the list  —  although for a different purpose  —   was originally designed by President Obama. So how can you say that the exclusion of six countries on the list was motivated by what Mr. Trump said when he was candidate Trump? That is not good legal analysis. I’m putting my reputation on the line —  I predict the case gets to the Supreme Court, the Supreme Court will uphold the major provisions of this ban. ” Follow Pam Key on Twitter @pamkeyNEN","Dershowitz: Courts Psychoanalyzing Trump - If Obama Issued Travel Ban, It Would Be Constitutional - Breitbart"
13033,"JERUSALEM  —   Israeli scientists began their pioneering research to isolate the psychoactive ingredient in marijuana with a   stash seized by the Tel Aviv police. That effort, in the 1960s, helped propel Israel to the vanguard of research into the plant’s medicinal properties and lay the foundations for a medical marijuana industry. Now the nation’s burgeoning pot business, backed by an unlikely coalition of farmers, lawyers, scientists, entrepreneurs and the country’s   health minister, is going mainstream  —   and eyeing markets abroad. Marijuana, or cannabis, is still classified as a dangerous drug in Israel and remains illegal for recreational purposes. But the government is also at the forefront of efforts to develop and expand the   medical marijuana industry and make Israel a major center for it. Recent government efforts to regulate medical marijuana will make it more accessible and available by prescription at pharmacies. The government has also appointed a committee to examine the possibility of Israel becoming one of the few countries to allow exports, although the destination for products remains unclear. The Volcani Center, the Ministry of Agriculture’s research organization, is building a national institute for medical marijuana research. The chief scientist’s office of the Ministry of Economy has infused millions of shekels into innovative marijuana companies, much as government investment helped fuel the Israeli tech boom in the 1990s. The government is also setting standards for the cultivation, storage and use of medical marijuana. “It is almost unprecedented,” said Tamir Gedo, the chief executive of Breath of Life Pharma, an Israeli company permitted to grow medical cannabis and make and distribute products. “It seems the government is working faster than the private industry. ” The reforms spearheaded by the Health Ministry, which is led by Yaakov Litzman of the   United Torah Judaism Party, open up licensing for an unlimited number of growers, up from eight farms. The list of doctors trained and authorized to prescribe marijuana is to be expanded and research encouraged. The reforms, which were approved by the government in the summer, were formulated in cooperation with the Ministries of Agriculture, Justice, Internal Security and Finance. “I cannot say that I am in favor of cannabis,” Mr. Litzman said at a business conference last month, reflecting concerns that medical marijuana could trickle into the recreational market. But Mr. Litzman said he would even support the idea of export so long as revenues went to the Health Ministry, adding, “There is a lot of pressure on me. ” Some of Israel’s more traditional medical institutions and associations are still averse to joining the party, a wariness that marijuana advocates put down to a lack of knowledge. The police worry about leakage into the recreational black market, and some Israelis are concerned that export, if allowed, would stigmatize the country as one that dealt primarily in arms and drugs. About 25, 000 Israelis, in a population of 8. 5 million, hold permits to use medical marijuana to ease symptoms of cancer, epilepsy and other diseases, but that number is expected to grow rapidly. So far, medical marijuana has been distributed by the growers through special dispensaries or by home delivery. The Health Ministry’s written protocols on the matter, known as the Green Book, have generated international interest. “We wrote this because we couldn’t find it in other countries,” said Dr. Michael Dor, a family physician and senior adviser to the Health Ministry’s medical cannabis unit. “Now everybody is asking about it. ” The ministry has approved dozens of clinical trials, Dr. Dor said, adding, “If we don’t do it right here, the specialists will go abroad with their knowledge, and we have wonderful knowledge here. ” Raphael Mechoulam, now a professor of medicinal chemistry at the Hebrew University of Jerusalem, and his colleague Yechiel Gaoni first isolated the main compounds, including the psychoactive ingredient  —   tetrahydrocannabinol, or THC  —   with the marijuana supplied by the Tel Aviv police. When administrators at the Weizmann Institute of Science, where Professor Mechoulam was conducting his research, first called the police with the request, he recalled in an interview, “they asked if I was trustworthy. ” Professor Mechoulam, 86, has continued his research in his current post, focusing on the compounds in the brain that make the active components of marijuana work. He is also a consultant for the Ministry of Health and collaborates with research groups around the world. “Medicinal cannabis has to follow medical lines of thought and development and modern medical routes” in order to produce proper drugs, he said. Pointing to an international paucity of clinical trials, he said, “Israel has more than the United States at the moment, which is ridiculous. ” In the United States, medical marijuana programs exist in many states but remain illegal under federal law. Professor Mechoulam is also a member of the advisory board of Breath of Life, whose products, according to Mr. Gedo, the chief executive, are made according to pharmaceutical   protocols. “We are working as a pharmaceutical company, not a cannabis company,” Mr. Gedo said. Breath of Life is participating in a dozen clinical trials, including one based on cannabinoids, the chemical compounds in marijuana, for autism in children with the Shaare Zedek Medical Center in Jerusalem. According to Mr. Gedo, several American companies are conducting trials in Israel based on Breath of Life’s active pharmaceutical ingredients. Teva Israel, a subsidiary of Teva Pharmaceutical Industries Ltd. recently announced a distribution and cooperation agreement with Syqe Medical, a Tel Aviv company that developed an inhaler for administering marijuana in precise doses. The dose can be tailored to each patient like a standard medical treatment, which experts say should reduce or eliminate the objections of reluctant physicians. Two international medical marijuana conferences have taken place in Israel this year. At the Cann10 conference in Tel Aviv in September, speakers discussed science, medicine, technology and commerce. Purveyors, some in white lab coats, displayed their wares. A grower called PharmoCann displayed rows of sealed plastic vials containing strains of flowers undergoing testing with names like Blue, Train Wreck and Voodoo Child. Israelis have been producing products with varying degrees of THC for years. Another company at the Cann10 conference, Cannabliss, makes medical marijuana oil and other nonsmoking products, works with a professor of immunotherapy and bone marrow at the Hadassah Medical Center in Jerusalem and supplies the hospital’s medical marijuana dispensary. “We hope the market will open up in the world as soon as possible,” Moshe Ihea, Cannabliss’s founder and chief executive, said. “First we have to open up the people. ” He added that he had discovered the medicinal benefits after he suffered a leg injury during an army exercise. Saul Kaye, a pharmacist and the chief executive of iCan:   a venture fund and technology incubator for   driving the global medical marijuana industry, said this “could be another incredible economy for Israel. ” He added, “There’s a national consciousness for cannabis that you cannot ignore. ”","Israel, a Medical Marijuana Pioneer, Is Eager to Capitalize - The New York Times"
13347,"Rachel Dolezal, a former NAACP leader and professor who received national media attention after it was revealed that she was a white woman posing as   has been disinvited from a speaking event at a Martin Luther King Jr. festival in North Carolina after a community backlash about her scheduled appearance. [Dolezal, who was formerly an adjunct professor at Eastern Washington University, was disinvited from her scheduled appearance at Cary, North Carolina’s annual Martin Luther King Jr. Dreamfest in January. She was scheduled to participate in a panel discussion about racial identity and race relations with representatives from the NAACP.  Dolezal is the former president of the Spokane, Washington chapter of the NAACP, a position that she was forced to resign from after she was accused of portraying herself as   despite being born and raised by white parents. Doug McRainey, Cary’s director of parks, recreation, and cultural resources, claims that the decision to remove Dolezal from the program was made after backlash erupted in the community. “They made the decision about two weeks ago to remove her from the diversity summit, which we support,” McRainey said. “We had two focus group meetings with citizens and pastors, and I think the feeling was that her presence would take away from the goals of the Dreamfest. ”",’Trans-Racial’ Rachel Dolezal Disinvited from MLK Event After Backlash - Breitbart
13872, ,Goodbye John Kirby – we won’t miss you…
3030,"NORRISTOWN, Pa. (AP)  —   Bill Cosby’s trial on sexual assault charges ended in a mistrial Saturday after jurors failed to reach a unanimous decision in a case that helped destroy the    comedian’s image as “America’s Dad. ”[advertisement",Jury Deadlocks in Bill Cosby Trial Mistrial Declared - Breitbart
399,"Federal Finance Minister, Ishaq Dar on Monday said Pakistan has come a long way since 2013, as international institutions have commended the countrys economic progress. Addressing the 39th FPCCI Export Award ceremony here, the Finance Minister said economy, education, energy and anti-terrorism efforts precede the incumbent governments priority list. He said the Prime Minister has taken bold steps for restoring peace across the country including Karachi. Ishaq Dar said establishing economic discipline is the most difficult task. He said the rate of income tax collection has witnessed a rise of 16 percent over the past five months. We managed to put in place economic order in the country by pursuing effective policies, he added. The Finance Minister said the austerity measures were started from the Prime Ministers House. He said the scope of Benazir Income Support programme is being enhanced to three million families.",Income tax collection rose 16 pc in five months Dar
