,1title,1text
20624,2title,2text
8012,3title,3text
17178,4title,4text
947,5title,5text
5132,6title,6text
13033,7title,7text
13347,8title,8text
13872,9title,9text
3030,10title,10text
399,11title,11text
2302,12title,12text
9544,13title,13text
10813,14title,14text
671,15title,15text
900,16title,16text
7851,17title,17text
20085,18title,18text
1147,19title,19text
7164,20title,20text
1007,21title,21text
2217,22title,22text
4816,23title,23text
578,24title,24text
991,25title,25text
6072,26title,26text
16,27title,27text
6860,28title,28text
1037,29title,29text
1240,30title,30text
718,31title,31text
3114,32title,32text
2391,33title,33text
2330,34title,34text
18926,35title,35text
1723,36title,36text
771,37title,37text
7021,38title,38text
16460,39title,39text
1438,40title,40text
1480,41title,41text
1110,42title,42text
6701,43title,43text
9598,44title,44text
1342,45title,45text
8143,46title,46text
1041,47title,47text
1389,48title,48text
2179,49title,49text
5754,50title,50text
227,51title,51text
19460,52title,52text
7772,53title,53text
2222,54title,54text
625,55title,55text
14841,56title,56text
13168,57title,57text
2282,58title,58text
205,59title,59text
2076,60title,60text
15896,61title,61text
18721,62title,62text
10140,63title,63text
17100,64title,64text
1675,65title,65text
1827,66title,66text
4024,67title,67text
371,68title,68text
10214,69title,69text
2556,70title,70text
233,71title,71text
8896,72title,72text
500,73title,73text
12965,74title,74text
148,75title,75text
2490,76title,76text
4381,77title,77text
7177,78title,78text
2433,79title,79text
9384,80title,80text
1647,81title,81text
397,82title,82text
16684,83title,83text
14803,84title,84text
705,85title,85text
20411,86title,86text
16942,87title,87text
4359,88title,88text
746,89title,89text
1126,90title,90text
2568,91title,91text
10332,92title,92text
17142,93title,93text
17303,94title,94text
2086,95title,95text
8887,96title,96text
10304,97title,97text
1631,98title,98text
3232,99title,99text
7874,100title,100text
875,101title,101text
12130,102title,102text
17,103title,103text
12069,104title,104text
13568,105title,105text
9249,106title,106text
3624,107title,107text
2496,108title,108text
20345,109title,109text
980,110title,110text
6942,111title,111text
11844,112title,112text
17027,113title,113text
11333,114title,114text
15303,115title,115text
12070,116title,116text
581,117title,117text
2210,118title,118text
1247,119title,119text
2314,120title,120text
4127,121title,121text
2389,122title,122text
14134,123title,123text
1522,124title,124text
14673,125title,125text
9059,126title,126text
2258,127title,127text
10387,128title,128text
322,129title,129text
14196,130title,130text
14053,131title,131text
17479,132title,132text
14831,133title,133text
1303,134title,134text
5861,135title,135text
6876,136title,136text
18638,137title,137text
1707,138title,138text
6035,139title,139text
1444,140title,140text
8991,141title,141text
18345,142title,142text
2145,143title,143text
1117,144title,144text
1278,145title,145text
9083,146title,146text
16479,147title,147text
1960,148title,148text
2201,149title,149text
2475,150title,150text
18833,151title,151text
15258,152title,152text
376,153title,153text
6224,154title,154text
14332,155title,155text
11334,156title,156text
1792,157title,157text
14096,158title,158text
20000,159title,159text
3325,160title,160text
1230,161title,161text
18172,162title,162text
1119,163title,163text
594,164title,164text
8133,165title,165text
1172,166title,166text
8194,167title,167text
1579,168title,168text
15327,169title,169text
383,170title,170text
5196,171title,171text
4908,172title,172text
11527,173title,173text
11386,174title,174text
14824,175title,175text
